ds,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),t,rh,ah,yhat,yhat_lower,yhat_upper
2005-01-03 20:00:00,4.2,-200,-200,-200,-200,653,-200,182,-200,-200,-200,-200,-200,52.82782331,38.95776198,68.76782206
2005-01-03 21:00:00,3.2,-200,-200,-200,-200,509,-200,163,-200,-200,-200,-200,-200,55.21755685,39.86736956,70.09050774
2005-01-03 22:00:00,1.7,-200,-200,-200,-200,277,-200,135,-200,-200,-200,-200,-200,56.91581228,42.30660337,73.20474391
2005-01-03 23:00:00,1.5,-200,-200,-200,-200,268,-200,130,-200,-200,-200,-200,-200,58.41166248,41.00726245,73.30695517
2005-01-04 00:00:00,1.3,-200,-200,-200,-200,193,-200,117,-200,-200,-200,-200,-200,60.00286475,44.27868149,76.27476995
2005-01-04 01:00:00,1.2,-200,-200,-200,-200,167,-200,104,-200,-200,-200,-200,-200,61.56568279,44.58401461,76.724141
2005-01-04 02:00:00,1.3,-200,-200,-200,-200,159,-200,97,-200,-200,-200,-200,-200,62.83880143,46.89971009,79.3664821
2005-01-04 03:00:00,0.8,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,63.83128546,48.98622911,80.16130274
2005-01-04 04:00:00,0.6,-200,-200,-200,-200,89,-200,72,-200,-200,-200,-200,-200,64.82953962,48.67097785,80.59025924
2005-01-04 05:00:00,0.8,-200,-200,-200,-200,97,-200,71,-200,-200,-200,-200,-200,65.93121216,50.14138198,81.42621234
2005-01-04 06:00:00,0.9,-200,-200,-200,-200,182,-200,94,-200,-200,-200,-200,-200,66.60242484,51.34768926,81.53816411
2005-01-04 07:00:00,1.1,-200,-200,-200,-200,262,-200,118,-200,-200,-200,-200,-200,65.82444391,49.92255944,81.37362779
2005-01-04 08:00:00,3.4,-200,-200,-200,-200,561,-200,174,-200,-200,-200,-200,-200,62.84903072,47.20363658,78.15599835
2005-01-04 09:00:00,3.6,-200,-200,-200,-200,540,-200,170,-200,-200,-200,-200,-200,57.94062372,42.18782738,73.75319233
2005-01-04 10:00:00,3.1,-200,-200,-200,-200,480,-200,171,-200,-200,-200,-200,-200,52.40237814,36.30262746,67.72012645
2005-01-04 11:00:00,3.3,-200,-200,-200,-200,608,-200,196,-200,-200,-200,-200,-200,47.78727575,33.30506555,64.06735568
2005-01-04 12:00:00,3.4,-200,-200,-200,-200,584,-200,191,-200,-200,-200,-200,-200,44.9329579,29.05266761,60.16954983
2005-01-04 13:00:00,2.8,-200,-200,-200,-200,426,-200,165,-200,-200,-200,-200,-200,43.62508317,27.6034917,61.33287141
2005-01-04 14:00:00,2.6,-200,-200,-200,-200,397,-200,148,-200,-200,-200,-200,-200,43.12032516,27.12077223,58.51446722
2005-01-04 15:00:00,3,-200,-200,-200,-200,473,-200,172,-200,-200,-200,-200,-200,42.98621444,27.41017177,58.3462735
2005-01-04 16:00:00,2.9,-200,-200,-200,-200,369,-200,165,-200,-200,-200,-200,-200,43.46958429,28.31117269,59.34548029
2005-01-04 17:00:00,3.8,-200,-200,-200,-200,532,-200,184,-200,-200,-200,-200,-200,45.10278829,29.19525103,60.23503074
2005-01-04 18:00:00,3.8,-200,-200,-200,-200,498,-200,173,-200,-200,-200,-200,-200,47.99835297,32.58720404,63.64934432
2005-01-04 19:00:00,3.6,-200,-200,-200,-200,487,-200,174,-200,-200,-200,-200,-200,51.5525302,36.08910126,67.47893572
2005-01-04 20:00:00,4.5,-200,-200,-200,-200,629,-200,181,-200,-200,-200,-200,-200,54.84095086,39.46304156,71.43035693
2005-01-04 21:00:00,3.7,-200,-200,-200,-200,502,-200,166,-200,-200,-200,-200,-200,57.3031848,42.46554628,72.86839672
2005-01-04 22:00:00,2.4,-200,-200,-200,-200,381,-200,150,-200,-200,-200,-200,-200,59.05795036,43.85462261,74.61529685
2005-01-04 23:00:00,1.7,-200,-200,-200,-200,250,-200,131,-200,-200,-200,-200,-200,60.59402481,44.38427154,74.32408562
2005-01-05 00:00:00,1.7,-200,-200,-200,-200,266,-200,129,-200,-200,-200,-200,-200,62.20904535,46.95525928,78.02621316
2005-01-05 01:00:00,1.7,1135,-200,5.6,792,226,727,120,1170,1151,9.5,69.5,0.8261,63.77933137,48.59234652,80.43323095
2005-01-05 02:00:00,1.9,1188,-200,8.1,901,259,657,119,1261,1185,9.1,70.9,0.8176,65.04379731,49.74934863,80.52464344
2005-01-05 03:00:00,2,1242,-200,8.5,921,-200,626,-200,1219,1374,8.1,72.1,0.7798,66.01190754,50.13579333,82.64647096
2005-01-05 04:00:00,2,1219,-200,7.7,889,260,649,111,1186,1405,7.9,72.1,0.7679,66.97063027,52.42121016,82.46437961
2005-01-05 05:00:00,1.7,1187,-200,6.8,850,242,653,109,1169,1383,7.6,72.7,0.7598,68.01833374,51.56911833,83.09749458
2005-01-05 06:00:00,1.8,1225,-200,8.1,904,267,644,110,1194,1460,7.5,71.7,0.7439,68.62200605,53.50693942,82.75323287
2005-01-05 07:00:00,2.2,1333,-200,11.1,1019,411,576,126,1275,1612,7.9,70.6,0.7562,67.76391484,51.33549439,82.96029361
2005-01-05 08:00:00,3.7,1489,-200,16.4,1193,670,497,148,1475,1776,8.6,69,0.7732,64.69694501,48.88567928,78.97138898
2005-01-05 09:00:00,4.8,1596,-200,21.6,1341,830,436,162,1672,1991,9.1,67.5,0.7831,59.68676635,43.10835947,74.70594794
2005-01-05 10:00:00,4.8,1585,-200,19.3,1277,845,456,173,1567,1944,9.8,65.8,0.7967,54.03785766,38.0978512,69.68903596
2005-01-05 11:00:00,5.2,1674,-200,22.9,1376,992,438,198,1643,2098,11.2,61.9,0.8226,49.30459991,34.99066019,65.27206192
2005-01-05 12:00:00,5.9,1741,-200,25.3,1438,1130,416,219,1741,2159,12.8,60.1,0.882,46.3260919,30.00286066,61.32550661
2005-01-05 13:00:00,5.9,1680,-200,25.2,1434,977,417,206,1790,2005,13.4,62.4,0.9513,44.88948995,29.52887609,60.03059351
2005-01-05 14:00:00,3.1,1295,-200,13.2,1090,459,553,155,1479,1441,14.3,61.2,0.9941,44.25298732,28.34273565,60.04564838
2005-01-05 15:00:00,2.6,1288,-200,13.9,1112,346,560,150,1492,1380,14.6,59.6,0.9824,43.98563766,28.60215564,58.94778297
2005-01-05 16:00:00,2.8,1281,-200,13.8,1111,383,553,148,1483,1409,14.2,60,0.9684,44.33578236,28.48959523,59.09769939
2005-01-05 17:00:00,2.8,1310,-200,13.5,1099,414,559,158,1481,1445,13.8,62.6,0.9862,45.83725005,30.30190065,60.7708423
2005-01-05 18:00:00,2.8,1276,-200,13.5,1099,370,559,152,1504,1388,13.6,64,0.9891,48.60399171,33.80579226,64.9602168
2005-01-05 19:00:00,3.1,1312,-200,15,1148,400,532,148,1525,1411,13.4,64.5,0.9865,52.03361623,36.39305798,68.30061114
2005-01-05 20:00:00,3.3,1332,-200,14.9,1146,378,539,147,1523,1377,13.5,64.7,0.9971,55.20302831,39.91877128,72.13365743
2005-01-05 21:00:00,2.7,1248,-200,11.9,1046,357,588,144,1404,1316,13.4,65.3,0.9967,57.55297365,41.42733541,71.98962161
2005-01-05 22:00:00,2.3,1182,-200,9.2,947,333,643,144,1334,1210,13.2,64.5,0.9732,59.20323519,43.53499484,74.05922096
2005-01-05 23:00:00,1.6,1059,-200,6,810,227,764,126,1200,1002,13.2,62.3,0.9392,60.64353161,44.23624443,75.83575221
2005-01-06 00:00:00,1.6,1056,-200,5.6,795,203,783,115,1187,896,12.5,63.7,0.9196,62.17230819,45.48421166,77.67489576
2005-01-06 01:00:00,1.7,1064,-200,5.4,785,210,769,116,1184,946,12.3,64.6,0.9229,63.66655047,47.44333954,79.96220224
2005-01-06 02:00:00,1.6,1059,-200,5.4,783,198,781,112,1188,877,12.5,63.8,0.9244,64.86569058,48.2356289,80.05485564
2005-01-06 03:00:00,1.4,991,-200,3.5,681,-200,874,-200,1125,718,12.6,62.7,0.9121,65.77955734,50.04235563,81.1018523
2005-01-06 04:00:00,-200,950,-200,2.5,622,89,960,67,1093,643,12,64.6,0.906,66.69532746,50.91451644,82.55136103
2005-01-06 05:00:00,0.9,1005,-200,3.4,679,89,875,67,1120,745,10.7,69.5,0.8919,67.71142098,52.73921614,83.36524012
2005-01-06 06:00:00,0.8,939,-200,1.8,568,101,1037,72,1054,656,12.4,62.6,0.8994,68.29472237,52.98241044,83.57971554
2005-01-06 07:00:00,0.7,961,-200,2.6,629,104,1011,69,1114,682,12.3,62.7,0.8947,67.42724343,52.61280932,83.05699455
2005-01-06 08:00:00,1.1,1017,-200,4,712,192,827,107,1147,829,11.4,66.6,0.8948,64.36146619,48.16137115,79.67053225
2005-01-06 09:00:00,1.5,1108,-200,6.2,823,237,720,117,1247,961,11.1,70.2,0.9276,59.36251752,43.30826505,73.95021859
2005-01-06 10:00:00,1.5,1122,-200,5.8,803,211,733,115,1225,960,13.4,61,0.9348,53.73420205,37.59765523,69.99405137
2005-01-06 11:00:00,1.6,1099,-200,6.3,826,230,739,120,1223,940,15.9,52.2,0.9377,49.03010563,33.18121603,64.45355486
2005-01-06 12:00:00,1.6,1124,-200,5.9,805,240,726,128,1233,938,15.6,54,0.9515,46.08842299,29.48024382,61.80812412
2005-01-06 13:00:00,2,1186,-200,8.5,921,295,660,138,1310,1040,16.3,51.5,0.9462,44.69531055,30.4433604,59.8580003
2005-01-06 14:00:00,1.7,1096,-200,6.2,819,243,733,127,1238,904,16.5,50.8,0.9442,44.10788024,29.17227854,60.05844633
2005-01-06 15:00:00,1.5,1120,-200,6.4,829,196,725,111,1259,910,16.3,51.9,0.9535,43.89403834,28.04672424,58.40420013
2005-01-06 16:00:00,2,1185,-200,7.9,893,237,666,122,1312,1011,16.2,53,0.9687,44.30092884,29.00609645,59.03070949
2005-01-06 17:00:00,1.9,1173,-200,7.7,885,274,685,134,1288,1038,15.6,54.8,0.966,45.86114973,31.02994996,60.7554218
2005-01-06 18:00:00,2.1,1221,-200,8.9,935,352,642,153,1323,1144,14.5,57.5,0.944,48.68740503,33.3214139,64.38121843
2005-01-06 19:00:00,2.8,1330,-200,12.4,1063,488,578,169,1419,1352,14,60.1,0.9566,52.17605751,36.88309134,67.34958053
2005-01-06 20:00:00,2.7,1325,-200,11.3,1027,426,591,162,1394,1365,13.5,63,0.9686,55.40278364,41.1373798,71.95709045
2005-01-06 21:00:00,2.4,1195,-200,8.4,915,376,666,152,1295,1245,12.6,65.4,0.9529,57.80713547,42.71874994,72.92840254
2005-01-06 22:00:00,1.6,1150,-200,7.3,869,237,694,127,1252,1203,12,67.5,0.9413,59.50775304,43.40519062,74.40687027
2005-01-06 23:00:00,1.7,1145,-200,5.9,806,199,736,112,1207,1120,10.5,72,0.912,60.99327836,45.02583169,76.68117401
2005-01-07 00:00:00,1.3,1041,-200,4.3,729,164,819,98,1130,972,10,70.9,0.8706,62.56116069,48.00552446,77.08420561
2005-01-07 01:00:00,1.4,1032,-200,3.6,687,142,867,89,1109,878,9.8,70.7,0.8571,64.08748361,47.99779235,80.00038414
2005-01-07 02:00:00,1.2,1010,-200,3.1,661,142,881,82,1100,853,8,75,0.8098,65.31088339,50.40700917,81.39733306
2005-01-07 03:00:00,1,951,-200,2.5,620,-200,938,-200,1077,779,7.9,75.1,0.805,66.24050976,50.23337997,81.65081675
2005-01-07 04:00:00,1,944,-200,2.5,617,127,944,77,1039,766,7,77.3,0.7782,67.16298605,51.8949547,82.94912684
2005-01-07 05:00:00,0.6,862,-200,1.4,540,73,1110,55,999,670,7.2,74.4,0.7581,68.17631205,51.94681949,83.3450442
2005-01-07 06:00:00,0.7,909,-200,1.8,567,100,1049,63,993,694,6.7,75,0.7418,68.74709057,54.35188958,84.51141875
2005-01-07 07:00:00,1,965,-200,3.1,659,126,973,69,1059,739,6.4,76.3,0.7389,67.85719411,51.31178496,83.09290156
2005-01-07 08:00:00,1.7,1102,-200,7.6,884,284,719,99,1218,940,6,78.5,0.7377,64.75910943,50.14968937,80.07265997
2005-01-07 09:00:00,3,1226,-200,15.3,1157,419,552,125,1464,1201,6.3,77.4,0.7452,59.71811208,44.12367506,75.46912133
2005-01-07 10:00:00,2.4,1132,-200,9.3,950,432,659,123,1253,1106,7.7,73.8,0.7769,54.03829721,38.16262302,68.36603091
2005-01-07 11:00:00,2.2,1183,-200,11,1013,310,632,128,1306,1186,10.2,61.5,0.7638,49.27367911,33.91463173,64.14610264
2005-01-07 12:00:00,2.6,1211,-200,10.6,998,446,605,149,1298,1302,11.3,58.1,0.7743,46.263013,31.42425608,61.62438741
2005-01-07 13:00:00,2.5,1253,-200,11.4,1030,464,590,137,1351,1368,10.6,62.3,0.7981,44.79314034,29.02454981,60.79963645
2005-01-07 14:00:00,3,1311,-200,13.1,1088,505,563,147,1402,1452,11.1,62,0.8199,44.12197339,29.00250427,59.33769256
2005-01-07 15:00:00,3.3,1341,-200,14.8,1142,564,536,168,1454,1537,12.6,57.7,0.8387,43.81832333,28.6563618,60.17963449
2005-01-07 16:00:00,3.8,1432,-200,16.5,1195,625,509,180,1513,1651,13.3,56.2,0.8548,44.13033143,28.78441161,59.99895897
2005-01-07 17:00:00,3.6,1404,-200,16.5,1195,590,499,170,1501,1623,11.2,65.3,0.8639,45.59167196,28.64982149,60.97715554
2005-01-07 18:00:00,5,1493,-200,21.5,1337,712,466,180,1638,1742,8.8,74.6,0.8434,48.31618977,33.14692061,64.73874474
2005-01-07 19:00:00,5.7,1478,-200,22.2,1357,723,473,178,1652,1639,7.2,78.5,0.803,51.7014377,37.04217631,66.85003551
2005-01-07 20:00:00,5,1411,-200,20.5,1311,707,487,159,1589,1537,6.5,80,0.7789,54.8243155,39.71064078,70.38337847
2005-01-07 21:00:00,4.8,1387,-200,17.7,1231,737,523,156,1487,1463,5.8,83.8,0.7768,57.12561525,41.40489057,72.43506592
2005-01-07 22:00:00,3.9,1306,-200,15.4,1161,646,557,146,1407,1379,5.5,83.5,0.7619,58.72521712,42.7257285,74.52175493
2005-01-07 23:00:00,3.3,1232,-200,11.6,1035,536,623,132,1296,1256,5.8,81.3,0.7568,60.11298654,44.22945925,76.35878073
2005-01-08 00:00:00,3.4,1277,-200,13,1085,567,589,137,1329,1344,5.4,82.6,0.7495,61.58756294,46.52815027,75.48728713
2005-01-08 01:00:00,2.4,1063,-200,6.7,843,357,762,114,1125,1089,6.4,76.3,0.7369,63.02617075,47.58304189,78.79260491
2005-01-08 02:00:00,1.4,991,-200,4.6,744,187,863,95,1069,949,7,73.6,0.7417,64.16852218,48.47161355,79.61573896
2005-01-08 03:00:00,1.4,989,-200,3.8,701,-200,871,-200,1049,933,7.2,72.3,0.7392,65.02476324,49.9882142,79.98445053
2005-01-08 04:00:00,1.2,972,-200,3.4,674,169,926,88,1032,882,7.9,69.3,0.7413,65.88242034,50.27117781,80.60633681
2005-01-08 05:00:00,1.2,973,-200,3.4,675,184,903,94,1029,905,7.4,71.7,0.7434,66.84029052,51.5306105,81.44617278
2005-01-08 06:00:00,1.2,985,-200,3.6,691,205,878,97,1056,902,7.7,71.9,0.7575,67.36565693,51.66824636,83.07882636
2005-01-08 07:00:00,1.3,1020,-200,4.5,736,213,854,93,1069,923,8.1,68,0.7396,66.44094587,52.62834971,81.52437059
2005-01-08 08:00:00,2.3,1192,-200,10,978,415,638,113,1273,1210,6.7,77.1,0.7597,63.31906338,48.05592246,78.90203837
2005-01-08 09:00:00,3.4,1325,-200,14.7,1140,583,542,126,1403,1468,6.8,77.9,0.7756,58.26556351,42.70046552,74.53787321
2005-01-08 10:00:00,3,1219,-200,11.3,1026,462,604,133,1311,1329,8.9,66.7,0.7634,52.58467472,36.5816667,68.28370762
2005-01-08 11:00:00,2.5,1195,-200,10.4,992,387,632,141,1251,1295,11.6,54.1,0.7387,47.83039691,32.53188257,63.87082652
2005-01-08 12:00:00,2.7,1230,-200,11.2,1020,414,605,139,1301,1365,13.5,49.4,0.7598,44.84132261,29.83457731,59.54058856
2005-01-08 13:00:00,2.8,1312,-200,13.1,1087,440,567,147,1393,1452,13.8,50.9,0.796,43.40398364,28.63977251,58.77242297
2005-01-08 14:00:00,3.6,1387,-200,14.3,1127,516,530,175,1430,1615,13.4,55.9,0.8588,42.77583896,28.18686935,60.18309519
2005-01-08 15:00:00,3.1,1375,-200,12.8,1076,495,555,180,1377,1599,12.9,59,0.8736,42.52510793,26.79809298,56.81337775
2005-01-08 16:00:00,4.3,1532,-200,18.9,1265,643,482,194,1578,1777,13.3,59,0.8945,42.89920858,27.34867417,57.96471338
2005-01-08 17:00:00,4.6,1531,-200,17.9,1235,725,484,192,1541,1742,13,61.9,0.9224,44.43096916,28.76374605,60.21846757
2005-01-08 18:00:00,4.3,1479,-200,16.5,1196,683,498,188,1511,1739,12.5,63.6,0.9193,47.2332762,31.66465285,63.90886608
2005-01-08 19:00:00,4.3,1521,-200,16.9,1208,681,497,179,1549,1770,12.2,65.8,0.931,50.70262383,35.86616882,66.04363918
2005-01-08 20:00:00,5.5,1616,-200,22.4,1363,833,442,196,1701,1918,12.6,65.2,0.9474,53.91476593,39.88881213,69.27408535
2005-01-08 21:00:00,3.4,1371,-200,13.6,1105,514,553,169,1429,1581,13.3,63.6,0.9681,56.30927607,41.72566902,72.53056599
2005-01-08 22:00:00,2.4,1198,-200,9.1,943,371,647,151,1307,1291,13.5,62.6,0.9644,58.00475873,42.12202888,74.11041527
2005-01-08 23:00:00,1.6,1102,-200,6,813,213,764,123,1204,1000,14.1,59.6,0.9563,59.48976279,43.47185904,74.54078243
2005-01-09 00:00:00,1.7,1120,-200,6.3,826,242,750,127,1222,974,14,61.4,0.9773,61.06158725,46.04898413,77.06918272
2005-01-09 01:00:00,1.6,1093,-200,5.5,789,241,771,127,1206,949,13.5,63.4,0.9755,62.59610946,48.90107348,78.90218514
2005-01-09 02:00:00,1.3,1112,-200,5.6,791,218,764,118,1216,934,13.2,64.2,0.9706,63.83170546,47.38033835,80.37466874
2005-01-09 03:00:00,0.8,986,-200,3.4,674,-200,883,-200,1137,730,13.6,62.2,0.9643,64.77721352,49.35760203,79.95664601
2005-01-09 04:00:00,-200,934,-200,2.3,609,70,976,55,1094,581,13.7,61.1,0.9537,65.71889782,50.72751978,80.06353819
2005-01-09 05:00:00,0.6,919,-200,1.8,571,54,1017,44,1082,521,13.5,63.8,0.9801,66.75435549,50.98481152,82.91367098
2005-01-09 06:00:00,0.6,929,-200,1.6,556,60,1035,46,1094,575,12.5,67.3,0.9743,67.34974808,51.62107693,82.46586354
2005-01-09 07:00:00,0.5,919,-200,1.6,552,55,1063,46,1080,522,13.2,64.2,0.9664,66.48647364,49.81022876,82.46916902
2005-01-09 08:00:00,0.6,944,-200,2,586,93,977,61,1090,586,13.1,63.4,0.9535,63.4165174,47.43463777,79.6283197
2005-01-09 09:00:00,0.7,943,-200,1.9,580,81,980,60,1074,566,13.8,60.5,0.9526,58.40463268,43.52985546,73.6726011
2005-01-09 10:00:00,0.9,1036,-200,3.5,683,109,846,71,1144,693,13.7,60.4,0.939,52.75437861,36.8415796,68.91671688
2005-01-09 11:00:00,1.5,1168,-200,5.7,797,251,698,111,1235,1022,14,59.7,0.9495,48.01922675,32.68680081,63.05777972
2005-01-09 12:00:00,1.9,1232,-200,8.1,903,284,626,127,1313,1152,15,56.2,0.9539,45.03739025,29.21385683,60.2929245
2005-01-09 13:00:00,1.9,1236,-200,8.1,901,262,628,128,1311,1108,16.9,50.9,0.9714,43.59517658,29.16969505,60.25920596
2005-01-09 14:00:00,2.2,1278,-200,12.6,1070,256,557,142,1479,1110,16.6,52.4,0.981,42.94997957,28.17774122,57.8867042
2005-01-09 15:00:00,3.8,1369,-200,18.1,1242,310,476,145,1669,1306,16.4,53.2,0.9826,42.67011482,26.91938898,58.34648998
2005-01-09 16:00:00,2,1182,-200,8.7,929,269,648,145,1324,1029,16.1,52.8,0.9579,43.00325812,28.5375595,59.12411138
2005-01-09 17:00:00,2.2,1210,-200,8.8,933,348,648,156,1327,1094,15.7,54.4,0.9616,44.4826552,28.58413331,59.58740388
2005-01-09 18:00:00,3.3,1316,-200,14.1,1121,396,548,154,1488,1282,15.4,55.3,0.9616,47.22176584,31.2046255,61.64686277
2005-01-09 19:00:00,2.7,1221,-200,9.3,952,432,641,165,1334,1147,15.2,54.7,0.9362,50.61780731,34.66509262,66.00299985
2005-01-09 20:00:00,2.6,1260,-200,11.6,1034,419,588,153,1402,1208,14.7,56.6,0.9392,53.74739884,37.88893799,69.33691827
2005-01-09 21:00:00,2.5,1231,-200,9.6,962,412,625,151,1348,1192,14.4,58.2,0.9495,56.05111192,39.76740765,71.60893061
2005-01-09 22:00:00,1.5,1115,-200,5.8,804,223,734,131,1220,1136,14.3,59.2,0.9608,57.64867017,42.65426089,72.09432143
2005-01-09 23:00:00,1.9,1180,-200,7.5,877,242,680,128,1297,1131,14,60.4,0.9622,59.02985004,44.79946117,74.82565931
2005-01-10 00:00:00,2,1174,-200,7.4,873,288,672,137,1300,1071,13.7,63.6,0.9912,60.49327215,44.71201126,76.76939212
2005-01-10 01:00:00,1.7,1178,-200,7.4,876,209,666,119,1319,1059,13.1,68.7,1.0329,61.91621405,46.866924,78.1065702
2005-01-10 02:00:00,1.2,1052,-200,3.9,704,141,807,96,1210,909,13.2,69.9,1.0526,63.03851388,47.59497734,78.50213133
2005-01-10 03:00:00,0.9,998,-200,2.1,591,-200,937,-200,1147,820,12.8,71.2,1.0454,63.87051648,48.74412806,78.54435251
2005-01-10 04:00:00,0.6,960,-200,1.3,532,66,1059,60,1122,724,12.9,70.4,1.0444,64.70001892,49.55008486,80.39535729
2005-01-10 05:00:00,-200,958,-200,1.8,571,64,998,54,1138,707,12.4,72.5,1.0411,65.62615903,50.36657321,81.44850744
2005-01-10 06:00:00,-200,989,-200,3,650,105,900,66,1171,768,13,70.3,1.0502,66.11662806,50.82204713,81.7933416
2005-01-10 07:00:00,0.4,1162,-200,6.7,843,303,685,104,1336,1027,12.3,73.3,1.0448,65.15432415,50.5493457,80.77861743
2005-01-10 08:00:00,2.6,1523,-200,21,1324,620,451,137,1776,1502,12.8,71.8,1.0551,61.99268447,46.4869404,77.76269912
2005-01-10 09:00:00,3.5,1511,-200,21.4,1334,590,433,146,1804,1606,13.1,70.2,1.0567,56.8978482,41.63397386,72.38980515
2005-01-10 10:00:00,2.1,1420,-200,16.1,1183,592,488,136,1626,1520,12.8,71.8,1.0551,51.17467697,36.05422981,66.46240883
2005-01-10 11:00:00,2.1,1413,-200,16.4,1193,698,484,144,1598,1566,13.1,70.3,1.0566,46.37784522,31.49018965,61.62628659
2005-01-10 12:00:00,1.7,1335,-200,14.8,1141,482,512,133,1536,1501,13.7,67,1.0446,43.34665411,27.74861741,58.95381899
2005-01-10 13:00:00,2.6,1451,-200,20.1,1298,575,452,148,1744,1634,14,65.4,1.0427,41.86837039,27.42178567,57.22338881
2005-01-10 14:00:00,2.6,1410,-200,19.3,1276,548,459,155,1701,1587,14.4,63.8,1.0421,41.20120604,25.46061347,56.66144571
2005-01-10 15:00:00,2.4,1429,-200,19.3,1277,498,456,152,1721,1560,14.1,65.9,1.0531,40.91414296,25.97238417,56.38120087
2005-01-10 16:00:00,2.4,1409,-200,17.4,1223,479,475,145,1640,1538,14.1,65.9,1.0552,41.25536242,25.51823139,57.42285214
2005-01-10 17:00:00,2,1372,-200,17,1210,420,484,139,1629,1491,14.1,66,1.0539,42.75844774,26.86382948,57.79091626
2005-01-10 18:00:00,2,1366,-200,17.1,1213,378,489,134,1611,1469,14,66.4,1.0536,45.53702333,30.65016544,60.66535051
2005-01-10 19:00:00,3.1,1365,-200,16.4,1192,340,492,128,1593,1486,13.8,66.4,1.0451,48.98829515,33.25812699,64.85784281
2005-01-10 20:00:00,3.3,1385,-200,17.3,1218,399,478,135,1620,1494,13.4,68.1,1.0441,52.18869417,37.95006252,67.74965191
2005-01-10 21:00:00,3.3,1361,-200,14.6,1137,449,503,136,1526,1471,13.2,69.1,1.0452,54.57842787,38.55272293,70.40143505
2005-01-10 22:00:00,2.6,1312,-200,11.9,1047,374,545,126,1430,1399,13,70,1.042,56.27668346,41.63050506,71.61106046
2005-01-10 23:00:00,1.7,1177,-200,7.3,871,244,660,116,1292,1192,12.7,69.9,1.0223,57.77253383,41.66719391,73.82676222
2005-01-11 00:00:00,1.8,1205,-200,7.7,888,256,647,116,1292,1187,12,71.9,1.0071,59.36373627,44.15831678,75.04908289
2005-01-11 01:00:00,1.5,1114,-200,4.9,757,212,744,107,1204,1070,13.2,66.8,1.0087,60.92655447,45.53402146,75.84647276
2005-01-11 02:00:00,1.1,1047,-200,3.9,708,146,816,91,1167,949,12.4,69.5,0.9986,62.19967328,46.09664545,77.02566828
2005-01-11 03:00:00,0.9,982,-200,2.1,592,-200,953,-200,1106,830,13.1,65.7,0.9858,63.19215748,47.35275286,79.02866539
2005-01-11 04:00:00,0.7,992,-200,2.9,644,96,899,70,1128,854,11.8,70.6,0.9731,64.19041163,49.37810183,78.78641686
2005-01-11 05:00:00,0.7,977,-200,2.6,629,106,908,78,1129,835,12.3,68,0.9734,65.29208417,49.80755614,80.06319323
2005-01-11 06:00:00,0.9,1047,-200,3.3,671,115,863,75,1147,887,12,69.2,0.9697,65.96329685,50.33293864,80.33949142
2005-01-11 07:00:00,1.3,1126,-200,5.2,775,236,760,101,1205,1019,11.7,69.8,0.9612,65.18531592,49.16595738,80.56304129
2005-01-11 08:00:00,3.2,1474,-200,19,1268,583,502,136,1677,1503,12.1,67.6,0.95,62.20990273,45.19237065,76.0421504
2005-01-11 09:00:00,5.1,1526,-200,26.5,1466,662,415,147,1855,1687,12.5,65.1,0.9399,57.30149573,42.6178251,72.712393
2005-01-11 10:00:00,3.7,1386,-200,15.3,1158,528,518,143,1485,1553,12.8,62.5,0.9213,51.76325016,37.25483204,68.55599519
2005-01-11 11:00:00,3.2,1392,-200,15.6,1166,549,519,153,1488,1624,13.4,59.9,0.9143,47.14814777,31.61995807,63.02393705
2005-01-11 12:00:00,3.1,1363,-200,16.4,1192,531,499,148,1501,1637,13.4,57.9,0.8895,44.29382992,27.31408041,59.26005022
2005-01-11 13:00:00,3,1331,-200,16.1,1184,493,507,149,1508,1533,13.6,56.4,0.8754,42.98595519,27.34487704,58.86719561
2005-01-11 14:00:00,3.6,1401,-200,18.8,1261,527,479,141,1580,1577,13.8,56.3,0.8841,42.48119717,27.28226587,58.12724861
2005-01-11 15:00:00,3.2,1374,-200,18,1239,487,483,147,1569,1532,13.7,57.9,0.9063,42.34708646,26.70885103,57.39164308
2005-01-11 16:00:00,3.9,1436,-200,20.1,1299,581,451,159,1616,1621,13.6,58.9,0.9139,42.8304563,26.54686048,58.30178862
2005-01-11 17:00:00,3.4,1386,-200,17.6,1228,531,479,152,1546,1578,13.4,59.7,0.9142,44.4636603,29.69744787,59.34276984
2005-01-11 18:00:00,3.9,1419,-200,19.3,1277,495,459,144,1603,1631,13.3,61.2,0.933,47.35922499,32.32491995,63.22309954
2005-01-11 19:00:00,3.6,1428,-200,19.7,1288,487,465,146,1580,1629,13.2,61.8,0.9313,50.91340221,35.50344543,64.93047844
2005-01-11 20:00:00,4.7,1508,-200,24.5,1416,596,418,162,1773,1733,12.9,61.5,0.9139,54.20182287,38.42709097,70.71854427
2005-01-11 21:00:00,4.1,1438,-200,18.4,1251,595,470,156,1593,1622,12.6,63.9,0.9307,56.66405682,41.07852655,72.35535905
2005-01-11 22:00:00,3.4,1415,-200,16.6,1197,559,486,146,1539,1597,12,67.4,0.9417,58.41882238,43.61174535,74.26006653
